No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
1087,3,B,Prunus serotina,0.082,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.27,,0.62,9.43,11.94,11,38.5,1,,
1088,3,E,Prunus serotina,0.095,Med,2016,Prunus serotina,689,Non-Sterile,Conspecific,AMF,AMF,6/7/18,23.45,,0.32,10.23,13.9,11,38.5,1,,
1097,3,D,Prunus serotina,0.087,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,41.39,,0.78,10.2,13.54,11,38.5,1,,
1110,3,D,Prunus serotina,0.087,Med,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,28.46,,0.65,10.38,13.66,11,38.5,1,,
1120,3,B,Prunus serotina,0.082,Med,2017,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,40.12,,0.72,8.64,11.85,11,38.5,1,,
1130,3,D,Prunus serotina,0.087,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,36.65,,0.71,10.43,13.72,11,38.5,1,,
1179,3,B,Prunus serotina,0.082,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.27,,0.62,9.43,11.94,11,38.5,1,,
1188,3,D,Prunus serotina,0.087,Med,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.46,,0.38,10.27,14.03,11,38.5,1,,
1196,3,B,Acer saccharum,0.082,Med,2016,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,21.02,,-0.63,14.18,12.41,11,38.5,1,,
1202,3,D,Prunus serotina,0.087,Med,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.46,,0.38,10.27,14.03,11,38.5,1,,
4380,11,A,Acer saccharum,0.068,Low,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,5/25/18,5.14,,-0.21,9.36,9.89,20,70,1,,
1222,3,D,Prunus serotina,0.087,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,36.65,,0.71,10.43,13.72,11,38.5,1,,
1243,3,B,Prunus serotina,0.082,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,40.12,,0.72,8.64,11.85,11,38.5,1,,
1250,3,B,Prunus serotina,0.082,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,41.69,,0.67,7.08,11.28,11,38.5,1,,
1274,3,D,Acer saccharum,0.087,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,20.69,,-0.57,14.06,12.3,11,38.5,1,,
1281,3,B,Prunus serotina,0.082,Med,2017,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/7/18,30.68,,0.38,9.31,11.9,11,38.5,1,,
2748,7,C,Prunus serotina,0.082,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/12/18,20.45,,0.3,10.69,13.27,11,38.5,1,,
2781,7,E,Prunus serotina,0.075,Low,2017,Quercus alba,1478,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,20.04,,0.62,5.12,8.19,11,38.5,1,,
2887,7,B,Acer saccharum,0.079,Med,2016,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.78,,-0.65,14.27,12.12,11,38.5,1,,
2911,7,D,Acer saccharum,0.08,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.23,,-0.71,14.29,12.36,11,38.5,1,,
3037,8,C,Acer saccharum,0.061,Low,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,6/11/18,8.25,,-0.2,10.78,11.85,11,38.5,1,,
4401,11,A,Quercus rubra,0.068,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,21.9,14.26,2.54,25.22,11.25,33,115.5,0,,1
3193,8,A,Acer saccharum,0.061,Low,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,18.89,,-0.69,13.64,12.17,11,38.5,1,,
3275,8,D,Acer saccharum,0.063,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,20.17,,-0.7,14,11.94,11,38.5,1,,
